"No.","Time","Source","Destination","Protocol","Length","Info"
"642","1.558578","host","1.16.1","USB","27","URB_INTERRUPT in"
"645","1.568553","1.16.1","host","USB","52","URB_INTERRUPT in"
"646","1.568592","host","1.16.1","USB","27","URB_INTERRUPT in"
"651","1.578547","1.16.1","host","USB","52","URB_INTERRUPT in"
"652","1.578565","host","1.16.1","USB","27","URB_INTERRUPT in"
"655","1.588559","1.16.1","host","USB","52","URB_INTERRUPT in"
"656","1.588596","host","1.16.1","USB","27","URB_INTERRUPT in"
"659","1.598551","1.16.1","host","USB","52","URB_INTERRUPT in"
"660","1.598588","host","1.16.1","USB","27","URB_INTERRUPT in"
"665","1.608549","1.16.1","host","USB","52","URB_INTERRUPT in"
"666","1.608584","host","1.16.1","USB","27","URB_INTERRUPT in"
"669","1.618559","1.16.1","host","USB","52","URB_INTERRUPT in"
"670","1.618597","host","1.16.1","USB","27","URB_INTERRUPT in"
"673","1.628552","1.16.1","host","USB","52","URB_INTERRUPT in"
"674","1.628600","host","1.16.1","USB","27","URB_INTERRUPT in"
"679","1.638558","1.16.1","host","USB","52","URB_INTERRUPT in"
"680","1.638611","host","1.16.1","USB","27","URB_INTERRUPT in"
"683","1.648556","1.16.1","host","USB","52","URB_INTERRUPT in"
"684","1.648602","host","1.16.1","USB","27","URB_INTERRUPT in"
"687","1.658553","1.16.1","host","USB","52","URB_INTERRUPT in"
"688","1.658605","host","1.16.1","USB","27","URB_INTERRUPT in"
"693","1.668555","1.16.1","host","USB","52","URB_INTERRUPT in"
"694","1.668606","host","1.16.1","USB","27","URB_INTERRUPT in"
"697","1.678556","1.16.1","host","USB","52","URB_INTERRUPT in"
"698","1.678590","host","1.16.1","USB","27","URB_INTERRUPT in"
"701","1.688558","1.16.1","host","USB","52","URB_INTERRUPT in"
"702","1.688596","host","1.16.1","USB","27","URB_INTERRUPT in"
"707","1.698548","1.16.1","host","USB","52","URB_INTERRUPT in"
"708","1.698570","host","1.16.1","USB","27","URB_INTERRUPT in"
"711","1.708557","1.16.1","host","USB","52","URB_INTERRUPT in"
"712","1.708588","host","1.16.1","USB","27","URB_INTERRUPT in"
"715","1.718549","1.16.1","host","USB","52","URB_INTERRUPT in"
"716","1.718566","host","1.16.1","USB","27","URB_INTERRUPT in"
"721","1.728550","1.16.1","host","USB","52","URB_INTERRUPT in"
"722","1.728569","host","1.16.1","USB","27","URB_INTERRUPT in"
